"PEILDATUM";"GEMEENTENUMMER";"GEMEENTENAAM";"POSTCODE_LEERLING";"GEMEENTENAAM_LEERLING";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"LEEFTIJD_JONGER";"LEEFTIJD_4";"LEEFTIJD_5";"LEEFTIJD_6";"LEEFTIJD_7";"LEEFTIJD_8";"LEEFTIJD_9";"LEEFTIJD_10";"LEEFTIJD_11";"LEEFTIJD_12";"LEEFTIJD_13";"LEEFTIJD_14";"LEEFTIJD_15";"LEEFTIJD_16";"LEEFTIJD_17";"LEEFTIJD_18";"LEEFTIJD_19";"LEEFTIJD_20";"LEEFTIJD_21";"LEEFTIJD_22";"LEEFTIJD_23";"LEEFTIJD_24";"LEEFTIJD_OUDER"
"20241001";"0268";"Nijmegen";"5431";"Land van Cuijk";"00KU";"00";"SBO de Windroos";"6545LX";"NIJMEGEN";"Gelderland";"Sbo";"Protestants-Christelijk";"29810";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0268";"Nijmegen";"5831";"Land van Cuijk";"00KU";"00";"SBO de Windroos";"6545LX";"NIJMEGEN";"Gelderland";"Sbo";"Protestants-Christelijk";"29810";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0268";"Nijmegen";"6511";"Nijmegen";"00KU";"00";"SBO de Windroos";"6545LX";"NIJMEGEN";"Gelderland";"Sbo";"Protestants-Christelijk";"29810";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0268";"Nijmegen";"6535";"Nijmegen";"00KU";"00";"SBO de Windroos";"6545LX";"NIJMEGEN";"Gelderland";"Sbo";"Protestants-Christelijk";"29810";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0268";"Nijmegen";"6536";"Nijmegen";"00KU";"00";"SBO de Windroos";"6545LX";"NIJMEGEN";"Gelderland";"Sbo";"Protestants-Christelijk";"29810";"0";"0";"0";"<5";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0268";"Nijmegen";"6537";"Nijmegen";"00KU";"00";"SBO de Windroos";"6545LX";"NIJMEGEN";"Gelderland";"Sbo";"Protestants-Christelijk";"29810";"0";"0";"<5";"<5";"<5";"<5";"0";"5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0268";"Nijmegen";"6538";"Nijmegen";"00KU";"00";"SBO de Windroos";"6545LX";"NIJMEGEN";"Gelderland";"Sbo";"Protestants-Christelijk";"29810";"0";"0";"0";"<5";"<5";"<5";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0268";"Nijmegen";"6541";"Nijmegen";"00KU";"00";"SBO de Windroos";"6545LX";"NIJMEGEN";"Gelderland";"Sbo";"Protestants-Christelijk";"29810";"0";"<5";"0";"0";"0";"<5";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0268";"Nijmegen";"6542";"Nijmegen";"00KU";"00";"SBO de Windroos";"6545LX";"NIJMEGEN";"Gelderland";"Sbo";"Protestants-Christelijk";"29810";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0268";"Nijmegen";"6544";"Nijmegen";"00KU";"00";"SBO de Windroos";"6545LX";"NIJMEGEN";"Gelderland";"Sbo";"Protestants-Christelijk";"29810";"0";"<5";"<5";"<5";"<5";"0";"<5";"<5";"6";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
